iter	Logloss
0	0.5985349868
1	0.5244907021
2	0.472595211
3	0.4371709557
4	0.4089768308
5	0.3892191961
6	0.3747997392
7	0.3630728924
8	0.3540876706
9	0.3450601062
10	0.3396984261
11	0.3355851274
12	0.3317854145
13	0.3277211775
14	0.3242222726
15	0.3208496198
16	0.3182459194
17	0.3166529044
18	0.3152117591
19	0.3132082607
20	0.3120546694
21	0.3110620277
22	0.30973166
23	0.3082423194
24	0.307492784
25	0.3062949258
26	0.3052327022
27	0.3045722988
28	0.3037423009
29	0.302136481
30	0.3012593989
31	0.3002792649
32	0.2995812895
33	0.2990673254
34	0.2986581759
35	0.2982232278
36	0.2976320041
37	0.2972013811
38	0.2968341867
39	0.2957054018
40	0.2950902394
41	0.2948884987
42	0.2943009865
43	0.2939404463
44	0.293623151
45	0.2932705672
46	0.2929897768
47	0.2925464526
48	0.292209937
49	0.2919097342
50	0.2910896456
51	0.2906850432
52	0.2904114234
53	0.2893819796
54	0.2891554255
55	0.2889094168
56	0.2885056916
57	0.2882988452
58	0.2880435438
59	0.2877664002
60	0.287558936
61	0.2875181731
62	0.2873239908
63	0.2869742668
64	0.2867160677
65	0.2864362797
66	0.2861856185
67	0.2859133311
68	0.2855644742
69	0.2849482835
70	0.2847859398
71	0.2846191098
72	0.2843635541
73	0.284144653
74	0.2839109069
75	0.2836454558
76	0.2833786004
77	0.2832243942
78	0.2830471814
79	0.2827291692
80	0.2825061901
81	0.2823475405
82	0.2821812849
83	0.281900216
84	0.2817319962
85	0.281576061
86	0.2814231721
87	0.2811193402
88	0.2809478279
89	0.2807022125
90	0.2805519661
91	0.2800354887
92	0.279888262
93	0.2797012192
94	0.2783943599
95	0.2782266857
96	0.2781188194
97	0.2779232037
98	0.2776513649
99	0.2775144258
09
75
